❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 64)
W2 형태: (64, 10)
[  1/300] loss=2.4251 | train=10.16% | test=8.61%
[  2/300] loss=2.3575 | train=10.93% | test=7.78%
[  3/300] loss=2.3263 | train=10.79% | test=7.50%
[  4/300] loss=2.3107 | train=11.00% | test=7.78%
[  5/300] loss=2.3022 | train=12.60% | test=9.72%
[  6/300] loss=2.2970 | train=15.31% | test=10.28%
[  7/300] loss=2.2931 | train=16.77% | test=12.50%
[  8/300] loss=2.2899 | train=17.88% | test=13.33%
[  9/300] loss=2.2870 | train=19.00% | test=14.44%
[ 10/300] loss=2.2841 | train=19.76% | test=15.00%
[ 11/300] loss=2.2814 | train=20.39% | test=15.83%
[ 12/300] loss=2.2786 | train=21.50% | test=16.67%
[ 13/300] loss=2.2758 | train=22.89% | test=17.78%
[ 14/300] loss=2.2731 | train=23.38% | test=18.06%
[ 15/300] loss=2.2703 | train=24.15% | test=18.89%
[ 16/300] loss=2.2675 | train=25.40% | test=20.56%
[ 17/300] loss=2.2647 | train=26.86% | test=21.11%
[ 18/300] loss=2.2620 | train=27.63% | test=21.39%
[ 19/300] loss=2.2592 | train=28.60% | test=22.22%
[ 20/300] loss=2.2563 | train=29.30% | test=23.61%
[ 21/300] loss=2.2535 | train=30.20% | test=24.17%
[ 22/300] loss=2.2507 | train=30.90% | test=24.44%
[ 23/300] loss=2.2478 | train=32.22% | test=25.83%
[ 24/300] loss=2.2450 | train=33.19% | test=27.22%
[ 25/300] loss=2.2421 | train=34.45% | test=28.06%
[ 26/300] loss=2.2392 | train=35.35% | test=29.44%
[ 27/300] loss=2.2363 | train=36.53% | test=31.11%
[ 28/300] loss=2.2334 | train=37.58% | test=31.94%
[ 29/300] loss=2.2304 | train=38.41% | test=32.50%
[ 30/300] loss=2.2274 | train=39.46% | test=32.78%
[ 31/300] loss=2.2245 | train=40.99% | test=33.33%
[ 32/300] loss=2.2215 | train=41.34% | test=34.44%
[ 33/300] loss=2.2184 | train=42.17% | test=35.56%
[ 34/300] loss=2.2154 | train=43.42% | test=36.39%
[ 35/300] loss=2.2123 | train=44.40% | test=38.06%
[ 36/300] loss=2.2092 | train=45.37% | test=38.89%
[ 37/300] loss=2.2061 | train=46.07% | test=40.00%
[ 38/300] loss=2.2029 | train=46.49% | test=41.39%
[ 39/300] loss=2.1998 | train=47.25% | test=42.78%
[ 40/300] loss=2.1966 | train=47.81% | test=43.61%
[ 41/300] loss=2.1934 | train=48.30% | test=45.56%
[ 42/300] loss=2.1901 | train=48.85% | test=46.11%
[ 43/300] loss=2.1868 | train=49.34% | test=46.94%
[ 44/300] loss=2.1835 | train=49.83% | test=47.50%
[ 45/300] loss=2.1802 | train=50.73% | test=48.61%
[ 46/300] loss=2.1768 | train=51.29% | test=49.17%
[ 47/300] loss=2.1734 | train=51.57% | test=49.44%
[ 48/300] loss=2.1700 | train=51.91% | test=50.00%
[ 49/300] loss=2.1665 | train=52.47% | test=50.56%
[ 50/300] loss=2.1630 | train=52.96% | test=50.56%
[ 51/300] loss=2.1595 | train=53.58% | test=51.11%
[ 52/300] loss=2.1559 | train=54.00% | test=51.39%
[ 53/300] loss=2.1523 | train=54.63% | test=51.94%
[ 54/300] loss=2.1487 | train=55.05% | test=52.50%
[ 55/300] loss=2.1450 | train=55.32% | test=53.06%
[ 56/300] loss=2.1413 | train=55.95% | test=54.72%
[ 57/300] loss=2.1375 | train=56.44% | test=55.00%
[ 58/300] loss=2.1337 | train=57.13% | test=55.56%
[ 59/300] loss=2.1299 | train=57.69% | test=55.83%
[ 60/300] loss=2.1260 | train=58.11% | test=56.11%
[ 61/300] loss=2.1221 | train=58.52% | test=57.22%
[ 62/300] loss=2.1182 | train=58.80% | test=57.78%
[ 63/300] loss=2.1142 | train=59.22% | test=57.78%
[ 64/300] loss=2.1101 | train=60.13% | test=58.61%
[ 65/300] loss=2.1060 | train=61.10% | test=59.17%
[ 66/300] loss=2.1019 | train=61.73% | test=60.00%
[ 67/300] loss=2.0978 | train=62.42% | test=60.56%
[ 68/300] loss=2.0935 | train=62.77% | test=61.11%
[ 69/300] loss=2.0893 | train=63.74% | test=61.39%
[ 70/300] loss=2.0850 | train=64.72% | test=62.50%
[ 71/300] loss=2.0806 | train=65.41% | test=63.61%
[ 72/300] loss=2.0763 | train=65.76% | test=64.44%
[ 73/300] loss=2.0718 | train=66.74% | test=64.72%
[ 74/300] loss=2.0673 | train=67.22% | test=65.56%
[ 75/300] loss=2.0628 | train=67.85% | test=66.67%
[ 76/300] loss=2.0582 | train=67.92% | test=66.67%
[ 77/300] loss=2.0536 | train=68.06% | test=68.06%
[ 78/300] loss=2.0489 | train=68.41% | test=68.33%
[ 79/300] loss=2.0442 | train=68.41% | test=68.33%
[ 80/300] loss=2.0394 | train=69.03% | test=68.61%
[ 81/300] loss=2.0346 | train=69.38% | test=69.17%
[ 82/300] loss=2.0297 | train=69.73% | test=69.44%
[ 83/300] loss=2.0248 | train=70.22% | test=70.28%
[ 84/300] loss=2.0199 | train=70.49% | test=70.28%
[ 85/300] loss=2.0148 | train=70.77% | test=70.28%
[ 86/300] loss=2.0098 | train=70.98% | test=70.56%
[ 87/300] loss=2.0047 | train=71.26% | test=70.83%
[ 88/300] loss=1.9995 | train=71.40% | test=70.83%
[ 89/300] loss=1.9943 | train=71.82% | test=70.83%
[ 90/300] loss=1.9890 | train=71.82% | test=70.83%
[ 91/300] loss=1.9837 | train=72.09% | test=71.67%
[ 92/300] loss=1.9783 | train=72.03% | test=71.94%
[ 93/300] loss=1.9729 | train=72.37% | test=71.94%
[ 94/300] loss=1.9674 | train=72.65% | test=72.78%
[ 95/300] loss=1.9619 | train=73.00% | test=73.06%
[ 96/300] loss=1.9564 | train=73.42% | test=73.06%
[ 97/300] loss=1.9507 | train=73.49% | test=73.33%
[ 98/300] loss=1.9451 | train=73.76% | test=73.33%
[ 99/300] loss=1.9394 | train=73.76% | test=73.33%
[100/300] loss=1.9336 | train=73.83% | test=73.33%
[101/300] loss=1.9278 | train=74.25% | test=73.89%
[102/300] loss=1.9219 | train=74.46% | test=74.17%
[103/300] loss=1.9160 | train=74.60% | test=73.89%
[104/300] loss=1.9101 | train=74.74% | test=74.44%
[105/300] loss=1.9041 | train=74.74% | test=74.44%
[106/300] loss=1.8980 | train=74.95% | test=75.00%
[107/300] loss=1.8920 | train=75.23% | test=75.00%
[108/300] loss=1.8858 | train=75.43% | test=75.00%
[109/300] loss=1.8796 | train=75.50% | test=75.28%
[110/300] loss=1.8734 | train=75.64% | test=75.28%
[111/300] loss=1.8672 | train=75.71% | test=75.28%
[112/300] loss=1.8608 | train=75.85% | test=75.56%
[113/300] loss=1.8545 | train=75.99% | test=76.39%
[114/300] loss=1.8481 | train=75.99% | test=76.67%
[115/300] loss=1.8417 | train=76.34% | test=77.50%
[116/300] loss=1.8352 | train=76.48% | test=77.78%
[117/300] loss=1.8287 | train=76.55% | test=78.06%
[118/300] loss=1.8221 | train=76.69% | test=78.06%
[119/300] loss=1.8155 | train=76.69% | test=78.06%
[120/300] loss=1.8089 | train=76.69% | test=78.06%
[121/300] loss=1.8022 | train=76.90% | test=78.06%
