❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 256)
W2 형태: (256, 10)
[  1/300] loss=2.5013 | train=14.68% | test=11.67%
[  2/300] loss=2.3201 | train=15.38% | test=11.39%
[  3/300] loss=2.2822 | train=16.42% | test=11.39%
[  4/300] loss=2.2682 | train=19.07% | test=14.44%
[  5/300] loss=2.2608 | train=20.95% | test=16.67%
[  6/300] loss=2.2546 | train=24.29% | test=21.39%
[  7/300] loss=2.2486 | train=27.28% | test=23.89%
[  8/300] loss=2.2427 | train=31.18% | test=26.11%
[  9/300] loss=2.2367 | train=34.31% | test=29.72%
[ 10/300] loss=2.2308 | train=38.20% | test=33.89%
[ 11/300] loss=2.2249 | train=40.57% | test=36.67%
[ 12/300] loss=2.2190 | train=43.56% | test=40.00%
[ 13/300] loss=2.2132 | train=45.65% | test=41.94%
[ 14/300] loss=2.2073 | train=48.36% | test=43.61%
[ 15/300] loss=2.2015 | train=50.66% | test=46.67%
[ 16/300] loss=2.1957 | train=52.89% | test=49.44%
[ 17/300] loss=2.1898 | train=54.49% | test=50.56%
[ 18/300] loss=2.1840 | train=56.65% | test=52.50%
[ 19/300] loss=2.1783 | train=57.76% | test=53.61%
[ 20/300] loss=2.1725 | train=58.73% | test=55.28%
[ 21/300] loss=2.1667 | train=59.99% | test=56.39%
[ 22/300] loss=2.1610 | train=61.31% | test=58.61%
[ 23/300] loss=2.1552 | train=62.35% | test=59.44%
[ 24/300] loss=2.1495 | train=63.67% | test=60.83%
[ 25/300] loss=2.1438 | train=65.21% | test=61.39%
[ 26/300] loss=2.1381 | train=66.04% | test=62.22%
[ 27/300] loss=2.1324 | train=67.36% | test=63.06%
[ 28/300] loss=2.1267 | train=68.55% | test=63.89%
[ 29/300] loss=2.1210 | train=69.31% | test=64.17%
[ 30/300] loss=2.1153 | train=70.35% | test=65.83%
[ 31/300] loss=2.1097 | train=70.98% | test=66.67%
[ 32/300] loss=2.1040 | train=72.09% | test=68.06%
[ 33/300] loss=2.0984 | train=72.86% | test=69.72%
[ 34/300] loss=2.0927 | train=73.42% | test=71.11%
[ 35/300] loss=2.0871 | train=74.04% | test=72.50%
[ 36/300] loss=2.0815 | train=74.60% | test=73.33%
[ 37/300] loss=2.0759 | train=75.23% | test=73.61%
[ 38/300] loss=2.0703 | train=75.64% | test=73.89%
[ 39/300] loss=2.0646 | train=75.99% | test=73.89%
[ 40/300] loss=2.0590 | train=76.27% | test=74.44%
[ 41/300] loss=2.0535 | train=76.76% | test=74.44%
[ 42/300] loss=2.0479 | train=77.11% | test=74.72%
[ 43/300] loss=2.0423 | train=77.66% | test=74.44%
[ 44/300] loss=2.0367 | train=77.80% | test=74.72%
[ 45/300] loss=2.0311 | train=78.01% | test=74.72%
[ 46/300] loss=2.0256 | train=78.43% | test=75.00%
