❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 32)
W2 형태: (32, 10)
[105/300] loss=2.0396 | train=64.23% | test=63.06%
[106/300] loss=2.0354 | train=64.44% | test=63.06%
[107/300] loss=2.0311 | train=64.51% | test=63.61%
[108/300] loss=2.0268 | train=64.51% | test=63.61%
[109/300] loss=2.0224 | train=64.72% | test=63.89%
[110/300] loss=2.0180 | train=64.86% | test=63.33%
[111/300] loss=2.0135 | train=64.93% | test=63.33%
[112/300] loss=2.0090 | train=65.00% | test=63.89%
[113/300] loss=2.0044 | train=65.07% | test=64.17%
[114/300] loss=1.9998 | train=65.14% | test=64.17%
[115/300] loss=1.9951 | train=65.27% | test=64.17%
[116/300] loss=1.9904 | train=65.34% | test=64.72%
[117/300] loss=1.9857 | train=65.55% | test=64.72%
[118/300] loss=1.9809 | train=65.69% | test=64.72%
[119/300] loss=1.9761 | train=65.83% | test=64.72%
[120/300] loss=1.9712 | train=65.97% | test=64.72%
[121/300] loss=1.9662 | train=66.18% | test=65.00%
[122/300] loss=1.9613 | train=66.25% | test=65.00%
[123/300] loss=1.9562 | train=66.32% | test=65.28%
[124/300] loss=1.9512 | train=66.39% | test=65.28%
[125/300] loss=1.9461 | train=66.39% | test=65.83%
[126/300] loss=1.9409 | train=66.67% | test=65.83%
[127/300] loss=1.9357 | train=66.74% | test=65.56%
[128/300] loss=1.9305 | train=66.81% | test=65.56%
[129/300] loss=1.9252 | train=66.95% | test=65.56%
[130/300] loss=1.9199 | train=66.81% | test=65.56%
[131/300] loss=1.9145 | train=66.95% | test=66.11%
[132/300] loss=1.9091 | train=67.22% | test=66.94%
[133/300] loss=1.9037 | train=67.22% | test=66.94%
[134/300] loss=1.8982 | train=67.43% | test=67.50%
[135/300] loss=1.8927 | train=67.64% | test=67.50%
[136/300] loss=1.8871 | train=67.71% | test=67.78%
[137/300] loss=1.8815 | train=67.78% | test=67.78%
[138/300] loss=1.8759 | train=68.06% | test=68.06%
[139/300] loss=1.8702 | train=68.13% | test=68.06%
[140/300] loss=1.8645 | train=68.27% | test=68.06%
[141/300] loss=1.8588 | train=68.48% | test=67.78%
[142/300] loss=1.8530 | train=68.55% | test=68.06%
[143/300] loss=1.8472 | train=68.68% | test=68.06%
[144/300] loss=1.8413 | train=68.68% | test=68.33%
[145/300] loss=1.8355 | train=68.82% | test=68.33%
[146/300] loss=1.8295 | train=68.96% | test=68.61%
[147/300] loss=1.8236 | train=68.96% | test=68.61%
[148/300] loss=1.8176 | train=69.10% | test=68.61%
[149/300] loss=1.8116 | train=69.31% | test=68.61%
[150/300] loss=1.8056 | train=69.38% | test=69.17%
[151/300] loss=1.7995 | train=69.59% | test=69.17%
[152/300] loss=1.7935 | train=69.66% | test=69.17%
[153/300] loss=1.7874 | train=69.59% | test=69.17%
[154/300] loss=1.7812 | train=69.73% | test=69.44%
[155/300] loss=1.7751 | train=69.94% | test=70.00%
[156/300] loss=1.7689 | train=70.08% | test=70.28%
[157/300] loss=1.7627 | train=70.22% | test=70.28%
[158/300] loss=1.7564 | train=70.29% | test=70.56%
[159/300] loss=1.7502 | train=70.42% | test=71.11%
[160/300] loss=1.7439 | train=70.49% | test=71.67%
[161/300] loss=1.7376 | train=70.70% | test=71.67%
[162/300] loss=1.7313 | train=70.63% | test=71.67%
[163/300] loss=1.7250 | train=70.70% | test=71.67%
[164/300] loss=1.7187 | train=70.70% | test=71.94%
[165/300] loss=1.7123 | train=70.91% | test=71.94%
[166/300] loss=1.7060 | train=70.98% | test=72.22%
[167/300] loss=1.6996 | train=71.05% | test=72.22%
[168/300] loss=1.6932 | train=71.33% | test=72.22%
[169/300] loss=1.6868 | train=71.54% | test=72.22%
