❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 16)
W2 형태: (16, 10)
[105/300] loss=2.1801 | train=55.39% | test=48.89%
[106/300] loss=2.1779 | train=55.60% | test=49.17%
[107/300] loss=2.1758 | train=55.74% | test=49.17%
[108/300] loss=2.1735 | train=55.95% | test=49.17%
[109/300] loss=2.1713 | train=56.09% | test=49.44%
[110/300] loss=2.1690 | train=56.09% | test=49.72%
[111/300] loss=2.1667 | train=56.30% | test=49.72%
[112/300] loss=2.1644 | train=56.37% | test=49.72%
[113/300] loss=2.1620 | train=56.58% | test=50.00%
[114/300] loss=2.1596 | train=56.58% | test=50.00%
[115/300] loss=2.1572 | train=56.51% | test=50.00%
[116/300] loss=2.1547 | train=56.51% | test=50.00%
[117/300] loss=2.1522 | train=56.65% | test=50.28%
[118/300] loss=2.1497 | train=56.85% | test=50.56%
[119/300] loss=2.1471 | train=56.92% | test=50.56%
[120/300] loss=2.1445 | train=57.13% | test=50.56%
[121/300] loss=2.1419 | train=57.41% | test=50.56%
[122/300] loss=2.1392 | train=57.48% | test=50.83%
[123/300] loss=2.1365 | train=57.62% | test=50.83%
[124/300] loss=2.1338 | train=57.83% | test=51.11%
[125/300] loss=2.1310 | train=58.32% | test=51.11%
[126/300] loss=2.1282 | train=58.11% | test=51.11%
[127/300] loss=2.1254 | train=58.04% | test=51.11%
[128/300] loss=2.1225 | train=58.32% | test=51.39%
[129/300] loss=2.1196 | train=58.52% | test=51.39%
[130/300] loss=2.1167 | train=58.80% | test=51.67%
[131/300] loss=2.1137 | train=59.08% | test=51.67%
[132/300] loss=2.1107 | train=59.36% | test=51.67%
[133/300] loss=2.1076 | train=59.50% | test=51.94%
[134/300] loss=2.1045 | train=59.50% | test=51.94%
[135/300] loss=2.1014 | train=59.71% | test=52.22%
[136/300] loss=2.0983 | train=59.85% | test=52.22%
[137/300] loss=2.0951 | train=60.06% | test=52.78%
[138/300] loss=2.0919 | train=60.26% | test=52.78%
[139/300] loss=2.0886 | train=60.47% | test=53.06%
[140/300] loss=2.0853 | train=60.68% | test=53.33%
[141/300] loss=2.0820 | train=60.61% | test=53.06%
[142/300] loss=2.0786 | train=60.54% | test=53.61%
[143/300] loss=2.0752 | train=60.54% | test=53.61%
[144/300] loss=2.0718 | train=60.61% | test=53.89%
[145/300] loss=2.0683 | train=60.61% | test=54.17%
[146/300] loss=2.0648 | train=60.82% | test=54.72%
[147/300] loss=2.0613 | train=61.03% | test=55.00%
[148/300] loss=2.0577 | train=61.31% | test=55.00%
[149/300] loss=2.0541 | train=61.52% | test=55.28%
[150/300] loss=2.0505 | train=61.59% | test=55.28%
[151/300] loss=2.0468 | train=61.59% | test=55.56%
[152/300] loss=2.0431 | train=61.52% | test=55.56%
[153/300] loss=2.0394 | train=61.73% | test=56.11%
[154/300] loss=2.0356 | train=61.93% | test=56.11%
[155/300] loss=2.0318 | train=62.07% | test=56.39%
[156/300] loss=2.0280 | train=62.21% | test=56.39%
[157/300] loss=2.0241 | train=62.49% | test=56.39%
[158/300] loss=2.0202 | train=62.63% | test=56.39%
[159/300] loss=2.0163 | train=62.70% | test=56.67%
[160/300] loss=2.0123 | train=62.84% | test=56.94%
[161/300] loss=2.0083 | train=63.05% | test=57.22%
[162/300] loss=2.0043 | train=63.33% | test=57.78%
[163/300] loss=2.0003 | train=63.47% | test=57.78%
[164/300] loss=1.9962 | train=63.40% | test=58.06%
[165/300] loss=1.9921 | train=63.54% | test=58.33%
[166/300] loss=1.9879 | train=63.81% | test=59.17%
[167/300] loss=1.9838 | train=64.02% | test=59.17%
[168/300] loss=1.9796 | train=64.16% | test=59.17%
[169/300] loss=1.9754 | train=64.23% | test=59.17%
[170/300] loss=1.9711 | train=64.23% | test=60.28%
[171/300] loss=1.9668 | train=64.51% | test=60.56%
